*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb GND
*Date=02:42:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;20.828;-19.1023;0;Bottom;Copper Fill82
2;10k;THT;88.6144;-69.842;0;Bottom;A0
3;;;51.7906;-39.3588;0;Bottom;Copper Fill18
4;;THT;6.24452;-31.761;180;Bottom;Sensor voltaje
5;;;65.1764;-50.992;0;Bottom;Copper Fill142
6;;;59.7408;-77.6366;0;Bottom;Copper Fill132
7;;;74.1172;-57.2023;0;Bottom;Copper Fill28
8;;;92.8116;-72.4423;0;Bottom;Copper Fill158
9;;;70.0532;-110.492;0;Bottom;Copper Fill69
10;;;69.9262;-40.197;0;Bottom;Copper Fill21
11;;;87.3444;-107.942;-90;Bottom;SPEAKER
12;;;31.8516;-39.4223;0;Bottom;Copper Fill54
13;;;179.146;-105.462;0;Bottom;Copper Fill122
14;;;149.492;-79.4908;0;Bottom;Copper Fill198
15;;;165.633;-69.9023;0;Bottom;Copper Fill92
16;;;88.5825;-107.126;0;Bottom;Copper Fill48
17;10µF;100 mil [THT, electrolytic];40.3544;-63.492;-90;Bottom;10uF
18;;;71.5264;-110.492;0;Bottom;Copper Fill192
19;220;THT;30.1944;-95.242;90;Bottom;R5
20;;;32.0323;-10.6368;0;Bottom;IMG1
21;;;67.6656;-92.7623;0;Bottom;Copper Fill78
22;;;19.2532;-110.492;0;Bottom;Copper Fill112
23;;;133.274;-69.9023;0;Bottom;Copper Fill70
24;;;92.8116;-80.0623;0;Bottom;Copper Fill166
25;;;56.5658;-58.4342;0;Bottom;Copper Fill141
26;;TO92 [THT];65.5639;-29.1131;0;Bottom;MCP9701 TEMP
27;;;72.8472;-61.914;0;Bottom;Via7
28;220;THT;9.87442;-95.242;90;Bottom;R1
29;;;161.004;-92.6998;0;Bottom;releFan
30;;THT;196.384;-85.082;0;Bottom;Contacto + Starter
31;10k;THT;60.6744;-85.082;-90;Bottom;RESET 10k
32;;;92.8116;-36.8823;0;Bottom;Copper Fill30
33;;;58.928;-16.5623;0;Bottom;Copper Fill156
34;;;33.528;-74.9823;0;Bottom;Copper Fill66
35;10k;THT;88.6144;-72.382;0;Bottom;A1
36;;;134.849;-80.0623;0;Bottom;Copper Fill64
37;;5 mm [THT];70.8343;-108.593;0;Bottom;FALLO
38;;;51.7906;-41.8988;0;Bottom;Copper Fill15
39;;;75.9206;-77.4588;0;Bottom;Copper Fill2
40;;;191.77;-102.922;0;Bottom;Copper Fill118
41;;;67.183;-58.4088;0;Bottom;Copper Fill140
42;220;THT;14.9544;-95.242;90;Bottom;R2
43;;;145.764;-92.6998;0;Bottom;releTransfer
44;;;148.514;-69.9023;0;Bottom;Copper Fill209
45;;;7.33441;-16.502;0;Bottom;Hole5
46;;;100.406;-24.1823;0;Bottom;Copper Fill148
47;;;89.4588;-108.002;0;Bottom;Copper Fill49
48;;;60.6425;-111.241;0;Bottom;Copper Fill204
49;100nF;100 mil [THT, multilayer];73.3744;-55.872;90;Bottom;100nF
50;;;94.488;-74.9823;0;Bottom;Copper Fill161
51;;;106.553;-25.0586;0;Bottom;Copper Fill24
52;;;92.4988;-39.4093;-90;Bottom;TXT1
53;10k;THT;37.8144;-74.922;0;Bottom;D2
54;;;73.3425;-93.6132;0;Bottom;Copper Fill199
55;;;135.153;-69.9023;0;Bottom;Copper Fill196
56;;;192.672;-102.021;0;Bottom;Copper Fill117
57;;;94.488;-72.4423;0;Bottom;Copper Fill35
58;;5 mm [THT];30.1946;-108.593;0;Bottom;STARTING
59;;;149.492;-80.6338;0;Bottom;Copper Fill73
60;;;36.7538;-52.262;0;Bottom;Copper Fill137
61;;300 mil [THT];145.739;-69.842;0;Bottom;diode3
62;;;134.201;-68.9752;0;Bottom;Copper Fill194
63;;;55.5625;-56.4276;0;Bottom;Copper Fill162
64;;;74.168;-92.7623;0;Bottom;Copper Fill72
65;;;59.1312;-44.007;0;Bottom;Copper Fill144
66;;;109.423;-36.9204;0;Bottom;Via9
67;;;33.528;-72.4423;0;Bottom;Copper Fill59
68;;;192.672;-27.624;0;Bottom;Copper Fill227
69;;;75.9206;-39.3588;0;Bottom;Copper Fill19
