*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:05:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;121.26;-62.4643;0;Bottom;Copper Fill178
2;;;90.4748;-67.5443;0;Bottom;Copper Fill146
3;;;54.3433;-12.5152;0;Bottom;Copper Fill227
4;;;5.33758;-7.74432;0;Bottom;TXT7
5;;;105.143;-66.9728;0;Bottom;Copper Fill158
6;;;54.3433;-10.8388;0;Bottom;Copper Fill120
7;;;118.463;-26.4362;0;Bottom;TXT8
8;22k;THT;11.2181;-19.2398;90;Bottom;22k
9;;;82.7024;-49.4976;0;Bottom;Copper Fill31
10;;;120.332;-61.5372;0;Bottom;Copper Fill56
11;10k;THT;26.4581;-52.2598;0;Bottom;D4
12;;;30.1117;-6.1906;0;Bottom;Copper Fill103
13;;;59.4868;-21.7862;0;Bottom;Copper Fill29
14;;;6.0833;-12.566;0;Bottom;Copper Fill109
15;10k;THT;69.6381;-59.8798;0;Bottom;A4
16;10k;THT;26.4581;-57.3398;0;Bottom;D2
17;;;82.7024;-49.4976;0;Bottom;Copper Fill135
18;;;22.0726;-92.9443;0;Bottom;Copper Fill94
19;;;142.164;-78.6187;0;Bottom;Copper Fill77
20;;;126.365;-6.5843;0;Bottom;Copper Fill197
21;;;125.463;-5.6826;0;Bottom;Copper Fill84
22;;;43.434;-92.9443;0;Bottom;Copper Fill74
23;;THT;130.598;-2.90996;90;Bottom;Servo
24;100nF;100 mil [THT, multilayer];59.4781;-38.2898;90;Bottom;100nF
25;;;64.5582;-77.6598;0;Top;Pad5
26;10k;THT;26.4581;-16.6998;0;Bottom;D8
27;;;131.868;-80.1976;0;Bottom;releFan
28;;;59.4233;-40.4044;0;Bottom;Copper Fill137
29;;;22.1742;-59.9243;0;Bottom;Copper Fill244
30;;;44.1833;-10.8388;0;Bottom;Copper Fill218
31;;;32.6136;-37.1023;0;Bottom;Via10
32;;;22.1742;-21.8243;0;Bottom;Copper Fill114
33;;;22.1742;-54.8443;0;Bottom;Copper Fill239
34;;;83.2104;-49.904;0;Bottom;Via8
35;;;53.2384;-25.52;0;Bottom;Copper Fill133
36;10k;THT;69.6381;-21.7798;0;Bottom;D11
37;;;37.3126;-92.9443;0;Bottom;Copper Fill82
