*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb mini - GND
*Date=22:19:48
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;89.3319;-67.5443;0;Bottom;Copper Fill37
2;;;26.4581;-3.99989;0;Top;Pad2
3;;;16.7006;-52.9012;0;Bottom;Copper Fill125
4;;;22.1743;-54.8443;0;Bottom;Copper Fill239
5;;;59.4615;-50.9962;0;Bottom;Copper Fill15
6;;;125.463;-7.48608;0;Bottom;Copper Fill83
7;;;22.1743;-16.7444;0;Bottom;Copper Fill108
8;;;73.8125;-57.3843;0;Bottom;Copper Fill42
9;;;20.4725;-54.8443;0;Bottom;Copper Fill238
10;10k;THT;26.4581;-57.3398;0;Bottom;D2
11;;;58.3058;-71.7988;0;Bottom;Copper Fill48
12;;5 mm [THT];28.9982;-91.0508;0;Bottom;ENG ON
13;10k;THT;69.6381;-19.2398;0;Bottom;D10
14;;;22.1743;-21.8244;0;Bottom;Copper Fill221
15;;;73.8125;-19.2844;0;Bottom;Copper Fill191
16;;;58.6233;-39.6044;0;Bottom;Copper Fill138
17;;;20.4725;-19.2844;0;Bottom;Copper Fill111
18;;;39.1415;-26.8663;0;Bottom;Copper Fill24
19;;;52.5527;-92.8935;0;Bottom;Copper Fill68
20;;;117.389;-34.2794;0;Bottom;LCD
21;100nF;100 mil [THT, multilayer];41.6981;-40.8298;-90;Bottom;100nF
22;;;5.1816;-26.9044;0;Bottom;Copper Fill225
23;;;51.0541;-92.8935;0;Bottom;Copper Fill67
24;;;59.4615;-56.0762;0;Bottom;Copper Fill10
25;;;52.6543;-72.6243;0;Bottom;Copper Fill46
26;;5 mm [THT];21.378;-91.0508;0;Bottom;STARTING
27;;;30.6071;-6.68598;0;Bottom;Copper Fill211
28;;;60.1981;-39.6044;0;Bottom;Copper Fill139
29;;;135.573;-61.5372;0;Bottom;Copper Fill184
30;;;75.5143;-26.9044;0;Bottom;Copper Fill162
31;;;20.5741;-92.9443;0;Bottom;Copper Fill93
32;;;141.732;-78.5552;0;Bottom;Via3
33;;;44.1834;-93.6936;0;Bottom;Copper Fill73
34;;;42.4181;-39.6044;0;Bottom;Copper Fill237
35;;;42.8245;-17.7477;0;Bottom;Copper Fill134
36;;300 mil [THT];131.843;-62.4198;0;Bottom;diode4
37;;;39.1415;-57.3462;0;Bottom;Copper Fill7
38;;;59.1567;-72.6243;0;Bottom;Copper Fill50
39;;;136.195;-67.5443;0;Bottom;Copper Fill182
40;;;59.4869;-29.4063;0;Bottom;Copper Fill23
41;;;57.4549;-72.6243;0;Bottom;Copper Fill154
42;;5 mm [THT];13.758;-91.0508;0;Bottom;CORTE
43;;;73.8125;-19.2844;0;Bottom;Copper Fill78
44;;;29.6165;-6.68598;0;Bottom;Copper Fill104
45;;;82.7024;-49.4976;0;Bottom;Copper Fill135
46;;;16.2053;-52.4059;0;Bottom;Copper Fill233
47;;;54.3434;-10.8389;0;Bottom;Copper Fill120
48;;;20.4725;-62.4643;0;Bottom;Copper Fill245
49;;;6.0833;-10.7627;0;Bottom;Copper Fill216
50;;;73.8125;-16.7444;0;Bottom;Copper Fill194
51;;;104.572;-67.5443;0;Bottom;Copper Fill159
52;;;81.0515;-43.1731;0;Bottom;Copper Fill18
53;;;136.5;-62.4643;0;Bottom;Copper Fill63
54;;;92.8595;-2.87468;0;Bottom;TXT8
55;;;17.526;-62.8072;0;Bottom;Copper Fill4
56;;5 mm [THT];51.858;-91.011;0;Bottom;FALLO
57;10k;THT;26.4581;-24.3198;0;Bottom;D5
58;;;33.7694;-34.8419;0;Bottom;Copper Fill123
59;220;THT;6.13811;-77.6598;90;Bottom;R1
60;;;141.669;-79.114;0;Bottom;Copper Fill76
61;;;6.985;-11.6644;0;Bottom;Copper Fill217
62;;;6.0833;-93.6936;0;Bottom;Copper Fill100
63;;;120.333;-61.5372;0;Bottom;Copper Fill56
64;22k;THT;11.2181;-19.2398;90;Bottom;22k
65;;;13.7034;-3.21888;0;Bottom;Copper Fill208
66;;;33.8328;-35.2735;0;Bottom;Via1
67;;;73.8125;-52.3043;0;Bottom;Copper Fill167
68;;;135.052;-67.5443;0;Bottom;Copper Fill181
69;;;89.9034;-66.9728;0;Bottom;Copper Fill144
70;;;6.13812;-49.7198;0;Top;Pad4
71;;;50.9525;-72.6243;0;Bottom;Copper Fill45
72;;;39.1415;-54.8062;0;Bottom;Copper Fill9
73;;300 mil [THT];86.1227;-59.8798;0;Bottom;diode1
74;;;53.2893;-28.1363;0;Bottom;Copper Fill132
75;10k;THT;69.6381;-24.3198;0;Bottom;D12
76;;;116.628;-80.1976;0;Bottom;releTransfer
77;220;THT;21.3781;-77.6598;90;Bottom;R5
78;;;35.8141;-92.9443;0;Bottom;Copper Fill81
79;;;59.4615;-48.4562;0;Bottom;Copper Fill17
80;;;6.8326;-92.9443;0;Bottom;Copper Fill102
81;;;51.8034;-73.4752;0;Bottom;Copper Fill43
82;;;34.2647;-35.3372;0;Bottom;Copper Fill231
83;;;135.573;-61.5372;0;Bottom;Copper Fill61
84;;;20.4725;-16.7444;0;Bottom;Copper Fill212
85;;;20.4725;-19.2844;0;Bottom;Copper Fill214
86;;;53.3147;-30.6255;0;Bottom;Copper Fill131
87;;;40.8433;-39.6044;0;Bottom;Copper Fill236
88;;;39.1415;-24.3263;0;Bottom;Copper Fill26
89;;;33.2741;-35.3372;0;Bottom;Copper Fill124
90;;;32.6136;-37.1023;0;Bottom;Via10
91;;;54.3434;-10.8389;0;Bottom;Copper Fill228
92;;;51.8034;-93.6428;0;Bottom;Copper Fill66
93;;;75.5143;-24.3644;0;Bottom;Copper Fill65
94;;;36.5634;-93.6936;0;Bottom;Copper Fill193
95;;;105.143;-66.9728;0;Bottom;Copper Fill158
96;;;65.3797;-90.4043;0;Bottom;Copper Fill41
97;10k;THT;26.4581;-19.2398;0;Bottom;D7
98;;;13.7034;-4.89528;0;Bottom;Copper Fill207
99;;;75.5143;-57.3843;0;Bottom;Copper Fill151
100;;;6.985;-26.9044;0;Bottom;Copper Fill119
101;;;142.164;-78.6187;0;Bottom;Copper Fill77
102;10k;THT;69.6381;-52.2598;0;Bottom;A1
103;;;20.4725;-21.8244;0;Bottom;Copper Fill113
